Matricula,Carrera,Promedio
A26601,CARR62,90.526
A26602,CARR66,79.062
A26603,CARR62,80.526
A26606,CARR84,89.15
A26607,CARR53,82.35
A26608,CARR42,71.388
A26609,CARR75,95.666
A26618,CARR71,82.761
A26620,CARR66,84.666
A26624,CARR42,74.75
A26625,CARR53,74.2
A26626,CARR103,81.437
A26629,CARR66,84.263
A26630,CARR66,88.21
A26631,CARR112,80.65
A26634,CARR42,85.947
A26635,CARR84,88.285
A26636,CARR73,49
A26639,CARR54,91.421
A26640,CARR54,87.947
A26642,CARR84,84.842
A26644,CARR66,69.588
A26648,CARR54,74.789
A26649,CARR71,69.375
A26650,CARR103,85.25
A26652,CARR54,84.75
A26656,CARR42,94.25
A26658,CARR42,84.714
A26659,CARR54,76.428
A26667,CARR71,90.571
A26669,CARR78,77.857
A26670,CARR66,92
A26675,CARR85,92
A26676,CARR103,87.857
A26677,CARR71,91.571
A26683,CARR66,83.285
A26686,CARR78,87.285
A26687,CARR84,87.714
A26689,CARR103,83.571
A26690,CARR42,93.166
A26691,CARR98,83.142
A26692,CARR66,77
A26693,CARR66,93.285
A26698,CARR103,87.857
A26700,CARR103,89.428
A26701,CARR65,83.166
A26703,CARR66,90
A26704,CARR72,83.285
A26705,CARR103,88.428
A26707,CARR62,83.5
A26710,CARR63,80.857
A26711,CARR98,77.142
A26714,CARR42,90.714
A26715,CARR42,93.833
A26717,CARR62,89.166
A26718,CARR63,84.142
A26719,CARR42,68.8
A26725,CARR71,87.857
A26727,CARR103,78.142
A26728,CARR66,75.714
A26729,CARR103,78.857
A26732,CARR62,81.285
A26736,CARR66,89.333
A26738,CARR42,81.428
A26740,CARR84,74.833
A26741,CARR71,86.333
A27118,CARR2,0
A27300,CARR97,80.873
A27522,CARR103,72.649
A27528,CARR112,69.144
A27550,CARR66,86.783
A27556,CARR99,79.578
A27566,CARR112,88.357
A27569,CARR84,70.029
A28007,CARR98,82.714
A28076,CARR97,91.661
A28094,CARR88,81.717
A28135,CARR58,71.871
A28158,CARR85,81.048
A28172,CARR62,79.532
A28180,CARR85,85.912
A28181,CARR62,82.95
A28182,CARR84,79.608
A28185,CARR112,80.034
A28335,CARR58,83.733
A28518,CARR97,65
A28528,CARR99,72.197
A28529,CARR84,78.396
A28537,CARR84,74.13
A28539,CARR112,76.527
A28542,CARR99,80.067
A28547,CARR84,74.949
A28559,CARR62,84.8
A28561,CARR112,81.55
A28578,CARR60,79.857
A28579,CARR112,74.6
A28580,CARR99,79.28
A28582,CARR99,83.568
A28583,CARR66,95.142
A28584,CARR62,85.689
A28585,CARR85,78.5
A28586,CARR64,81.55
A28587,CARR99,85.916
A28589,CARR84,96.025
A28590,CARR66,74.825
A28591,CARR62,91.259
A28592,CARR2,88.022
A28593,CARR73,87.267
A28596,CARR62,81.35
A28683,CARR76,74.652
A28698,CARR60,85.795
A28702,CARR88,83.037
A28706,CARR58,75.781
A28707,CARR84,89.49
A28711,CARR84,79.15
A28715,CARR62,78.81
A28716,CARR84,73.285
A28717,CARR84,70.83
A28718,CARR103,80.812
A28720,CARR63,81.615
A28721,CARR62,79
A28722,CARR98,80.388
A28723,CARR66,84.208
A28725,CARR2,85.045
A28729,CARR2,61.384
A28731,CARR46,77.423
A28732,CARR84,78.729
A28733,CARR54,91.54
A28735,CARR84,82.769
A28736,CARR84,83.906
A28739,CARR60,93.81
A28740,CARR84,76.085
A28741,CARR110,86.787
A28742,CARR103,89.6
A28743,CARR112,86.861
A28745,CARR72,92.469
A28747,CARR61,83.22
A28748,CARR62,82.046
A28749,CARR66,63.434
A28750,CARR42,89.729
A28751,CARR84,87.863
A28752,CARR84,82.21
A28754,CARR99,84.659
A28756,CARR114,84.179
A28758,CARR85,89.825
A28760,CARR97,78.8
A28761,CARR66,81.451
A28766,CARR66,87.753
A28769,CARR97,89.538
A28771,CARR66,89.727
A28773,CARR2,69
A28774,CARR66,74.107
A28776,CARR84,86.857
A28777,CARR84,81.813
A28780,CARR65,78.068
A28783,CARR71,89.5
A28785,CARR84,77.736
A28788,CARR85,95.947
A28792,CARR97,73.241
A28795,CARR76,75
A28796,CARR54,80.894
A28799,CARR103,75.328
A28800,CARR84,70.705
A28803,CARR104,94.222
A28805,CARR58,87.315
A28806,CARR2,69.066
A28808,CARR53,94.571
A28809,CARR62,86.29
A28810,CARR62,91.636
A28811,CARR66,65.875
A28812,CARR62,68.8
A28813,CARR62,85.157
A28814,CARR84,90.236
A28816,CARR103,84.21
A28817,CARR88,83.35
A28819,CARR85,87.857
A28820,CARR71,76.176
A28821,CARR84,84.937
A28822,CARR84,74.636
A28823,CARR62,85.345
A28824,CARR62,80.254
A28825,CARR103,91.672
A28826,CARR73,78.666
A28827,CARR66,83.2
A28828,CARR62,85.814
A28829,CARR85,83.75
A28831,CARR63,82.283
A28832,CARR84,80.25
A28836,CARR110,73.142
A28837,CARR66,87.714
A28838,CARR63,83.285
A28839,CARR85,94.428
A28841,CARR63,92.714
A28842,CARR63,71.142
A28843,CARR2,86.571
A28845,CARR97,79.714
A28846,CARR63,75.428
A28849,CARR114,88.428
A28853,CARR62,87.046
A28854,CARR84,77.596
A28856,CARR98,91.285
A28858,CARR61,68.285
A28860,CARR62,83
A28861,CARR66,86.285
A28863,CARR114,81.857
A28864,CARR42,76.571
A28865,CARR62,84.79
A28866,CARR103,76.142
A28869,CARR99,92.317
A28884,CARR113,71.38
A28885,CARR42,92.055
A28887,CARR42,86.857
A28892,CARR76,93.129
A28895,CARR53,85.964
A29030,CARR75,73.112
A29036,CARR62,76.685
A29055,CARR54,76.343
A29056,CARR62,70.586
A29057,CARR66,87.105
A29059,CARR88,78.25
A29079,CARR84,90.444
A29082,CARR84,85.388
A29083,CARR66,93.4
A29085,CARR75,91.588
A29086,CARR84,82.7
A29105,CARR97,93
A29106,CARR103,90.5
A29107,CARR84,95
A29112,CARR42,91
A29113,CARR85,90.833
A29114,CARR63,91
A29280,CARR103,87.733
A29310,CARR71,75.056
A29324,CARR99,88.576
A29328,CARR58,82.145
A29339,CARR85,74.283
A29352,CARR62,85.842
A29353,CARR84,78.131
A29358,CARR103,75.812
A29361,CARR112,91.318
A29363,CARR112,93.068
A29365,CARR66,82.316
A29367,CARR112,84.87
A29373,CARR71,84.174
A29383,CARR85,82.031
A29395,CARR60,77.315
A29399,CARR54,78.7
A29400,CARR62,84.907
A29401,CARR66,84.058
A29402,CARR110,87.976
A29403,CARR66,78.048
A29405,CARR98,74.75
A29406,CARR103,84.228
A29408,CARR98,81.5
A29410,CARR62,80.932
A29422,CARR62,94.21
A29424,CARR97,79.869
A29427,CARR65,78.517
A29428,CARR85,87.642
A29429,CARR66,80.574
A29438,CARR98,76.268
A29439,CARR84,74.676
A29440,CARR66,84
A29444,CARR66,84.888
A29446,CARR54,85.191
A29447,CARR65,84.465
A29448,CARR85,74.21
A29450,CARR77,90
A29451,CARR72,95.717
A29454,CARR72,72.526
A29455,CARR85,77.414
A29456,CARR2,78.641
A29458,CARR85,87.575
A29470,CARR65,88.717
A29471,CARR2,85.638
A29472,CARR62,82.891
A29478,CARR2,94.205
A29479,CARR85,78.86
A29480,CARR112,82.766
A29482,CARR84,83.102
A29485,CARR42,77.725
A29486,CARR42,90.166
A29491,CARR104,87.812
A29493,CARR98,88.322
A29496,CARR65,93.644
A29498,CARR99,92.903
A29500,CARR71,89.121
A29501,CARR62,64.647
A29503,CARR66,86.787
A29504,CARR103,80.428
A29505,CARR98,74.166
A29506,CARR62,89.941
A29510,CARR103,98.892
A29511,CARR62,76.129
A29512,CARR54,89.562
A29513,CARR88,85.75
A29514,CARR42,93.764
A29518,CARR42,91.245
A29519,CARR66,91.2
A29522,CARR65,76.896
A29523,CARR85,83.653
A29524,CARR85,71.145
A29525,CARR43,83.216
A29527,CARR88,89.191
A29528,CARR42,85.169
A29530,CARR42,88.75
A29533,CARR98,79.838
A29535,CARR103,82.242
A29536,CARR77,87.833
A29537,CARR88,81.55
A29539,CARR84,90.466
A29540,CARR66,70.608
A29542,CARR62,82.82
A29545,CARR84,67.806
A29546,CARR98,83.368
A29548,CARR66,90.473
A29549,CARR98,86.309
A29551,CARR84,78.64
A29553,CARR71,87.684
A29556,CARR103,94.842
A29558,CARR72,91.684
A29559,CARR112,81.571
A29560,CARR53,88.888
A29561,CARR73,78.166
A29562,CARR2,83.388
A29563,CARR62,86.732
A29564,CARR85,84
A29566,CARR78,0
A29567,CARR54,89.571
A29570,CARR66,96.105
A29572,CARR84,79.344
A29573,CARR73,84.244
A29574,CARR53,74.55
A29575,CARR98,78.38
A29576,CARR85,86.145
A29577,CARR85,83.875
A29578,CARR62,87.421
A29582,CARR63,72.95
A29583,CARR42,93.461
A29585,CARR72,83.05
A29586,CARR84,72.65
A29587,CARR85,87.258
A29588,CARR66,87.642
A29590,CARR64,83.333
A29591,CARR103,86.537
A29592,CARR103,90.314
A29593,CARR2,76.75
A29595,CARR46,75.976
A29597,CARR97,75.483
A29598,CARR97,81.3
A29599,CARR66,79.771
A29602,CARR2,85.896
A29603,CARR63,86.571
A29606,CARR98,81.571
A29608,CARR65,90
A29609,CARR64,93
A29610,CARR62,90.636
A29611,CARR62,84.744
A29612,CARR103,87.739
A29613,CARR62,90.243
A29614,CARR62,85.682
A29615,CARR103,89.93
A29616,CARR85,81.142
A29617,CARR65,90.285
A29619,CARR66,88.142
A29620,CARR66,95.571
A29623,CARR42,89.666
A29624,CARR103,86.636
A29625,CARR54,90.142
A29626,CARR62,83.357
A29627,CARR112,72.4
A29629,CARR85,85.25
A29630,CARR2,87.666
A29632,CARR62,76.627
A29634,CARR66,70.179
A29635,CARR103,79.611
A29636,CARR77,89.204
A29637,CARR85,76.142
A29638,CARR85,72.621
A29641,CARR54,83
A29642,CARR84,79.72
A29654,CARR66,89.6
A29658,CARR84,86.882
A29662,CARR66,87.657
A29666,CARR66,86.617
A29667,CARR71,85.562
A29668,CARR84,84.387
A29670,CARR62,81.354
A29673,CARR66,78.909
A29680,CARR62,77.571
A29682,CARR85,66.391
A29685,CARR61,84.06
A29688,CARR54,90.333
A29690,CARR54,94.428
A29691,CARR73,74.055
A29700,CARR66,73.105
A29701,CARR62,82
A29702,CARR66,82.08
A29706,CARR85,85.5
A29707,CARR85,85.3
A29710,CARR54,91.833
A29711,CARR72,87.894
A29716,CARR54,81.187
A29717,CARR63,87
A29719,CARR85,88
A29720,CARR98,82.5
A29721,CARR85,93.142
A29722,CARR72,78.5
A29726,CARR85,88.833
A29727,CARR85,87.058
A29728,CARR66,73.2
A29730,CARR62,83
A29736,CARR42,94.901
A29737,CARR98,48.333
A29739,CARR103,80.153
A29740,CARR85,87.5
A29743,CARR85,95.5
A29754,CARR54,90.285
A29755,CARR54,77.909
A29756,CARR103,82.5
A29762,CARR77,90.75
A29768,CARR58,88.857
A29771,CARR85,88.333
A29772,CARR84,78
A29774,CARR84,58.666
A30004,CARR73,79.736
A30252,CARR63,61.734
A30574,CARR54,85.586
A30974,CARR99,78.744
A31124,CARR99,68.571
A31143,CARR103,77.758
A31580,CARR75,77.9
A31613,CARR62,79.518
A31792,CARR86,67.738
A31806,CARR86,77.191
A31811,CARR88,78.032
A32076,CARR112,70.795
A32142,CARR110,0
A32341,CARR54,74.32
A32346,CARR85,84.093
A32371,CARR108,69.057
A32389,CARR112,70.84
A32491,CARR88,80.142
A32494,CARR85,87.928
A32586,CARR98,71.709
A32589,CARR103,77.194
A32595,CARR84,67.901
A32610,CARR2,76.553
A32616,CARR84,71
A32624,CARR72,76.1
A32646,CARR63,75.337
A32661,CARR84,81.223
A32675,CARR84,71.918
A32679,CARR84,78.207
A32705,CARR84,65.753
A32718,CARR84,74.409
A32724,CARR84,77.685
A32728,CARR113,74.594
A32750,CARR63,67.622
A32756,CARR103,80.344
A32767,CARR84,79.95
A32791,CARR97,82.737
A32797,CARR62,75.851
A32839,CARR63,75.652
A32865,CARR62,78.466
A32872,CARR99,73.333
A32925,CARR103,75.811
A32960,CARR63,82.081
A32973,CARR103,74
A33015,CARR84,82.436
A33016,CARR2,80.814
A33030,CARR84,75.155
A33036,CARR84,69.048
A33038,CARR97,83.453
A33048,CARR76,96.177
A33053,CARR2,72.14
A33054,CARR84,68.034
A33066,CARR103,75.75
A33072,CARR63,72.776
A33118,CARR112,78.425
A33121,CARR85,73.136
A33153,CARR66,80.738
A33154,CARR110,83.5
A33157,CARR2,80.431
A33158,CARR103,77.246
A33189,CARR63,78.239
A33192,CARR62,75.096
A33196,CARR103,70.213
A33224,CARR71,74.357
A33233,CARR103,80
A33247,CARR84,78.596
A33252,CARR88,72.25
A33265,CARR76,83.391
A33275,CARR66,85.38
A33277,CARR73,81.049
A33278,CARR66,79.811
A33287,CARR62,71.301
A33312,CARR62,77.971
A33314,CARR85,71.971
A33336,CARR2,95
A33345,CARR104,92.171
A33350,CARR43,84.545
A33356,CARR75,74.755
A33357,CARR66,76.701
A33364,CARR63,73.593
A33370,CARR58,74.948
A33383,CARR84,76.422
A33384,CARR63,81.734
A33389,CARR103,81.976
A33392,CARR2,71.339
A33394,CARR63,87.931
A33403,CARR97,83.568
A33415,CARR73,83.431
A33426,CARR62,76.85
A33435,CARR75,72.029
A33442,CARR112,75.714
A33443,CARR86,73.442
A33448,CARR58,76.431
A33449,CARR85,77.936
A33456,CARR62,82.321
A33464,CARR54,84.5
A33465,CARR63,75.527
A33478,CARR97,79.327
A33479,CARR62,77.445
A33483,CARR54,74.885
A33487,CARR103,75.483
A33488,CARR97,78.745
A33491,CARR84,78.807
A33492,CARR58,78.901
A33507,CARR73,74.132
A33512,CARR62,75.968
A33514,CARR63,78.558
A33515,CARR98,79.882
A33517,CARR65,77.912
A33521,CARR99,84.396
A33523,CARR76,88.137
A33525,CARR97,87.431
A33532,CARR84,78.652
A33537,CARR97,79.415
A33538,CARR62,80.38
A33541,CARR62,77.719
A33542,CARR75,68.793
A33543,CARR110,84.311
A33559,CARR2,76.321
A33563,CARR114,76.301
A33565,CARR85,81.63
A33585,CARR99,84.644
A33587,CARR84,81.033
A33590,CARR99,75.203
A33599,CARR66,83.047
A33605,CARR62,82.46
A33612,CARR75,82.072
A33617,CARR66,71.523
A33625,CARR63,73.984
A33626,CARR76,92.553
A33648,CARR86,74.842
A33649,CARR84,89.83
A33653,CARR84,79.603
A33657,CARR62,79.529
A33662,CARR54,79.4
A33663,CARR62,84.796
A33664,CARR75,88.98
A33665,CARR99,91.607
A33667,CARR58,91.16
A33668,CARR75,82.634
A33669,CARR76,97.528
A33670,CARR63,80.5
A33671,CARR99,96.224
A33672,CARR66,92.068
A33675,CARR84,91.482
A33677,CARR113,91.859
A33679,CARR71,76.222
A33681,CARR104,94.25
A33682,CARR63,82.526
A33683,CARR103,79.217
A33684,CARR62,81.4
A33685,CARR71,95.413
A33687,CARR63,81.981
A33688,CARR63,78.851
A33689,CARR75,89.781
A33690,CARR84,86.576
A33691,CARR97,84.541
A33693,CARR62,80.652
A33694,CARR63,87.684
A33697,CARR62,79.245
A33698,CARR99,81.534
A33699,CARR66,90.788
A33700,CARR66,78.2
A33701,CARR62,85.816
A33703,CARR62,87.122
A33704,CARR84,89.842
A33705,CARR84,79.5
A33706,CARR84,92.825
A33707,CARR2,82.55
A33708,CARR112,86.792
A33709,CARR65,84.9
A33711,CARR66,86.034
A33713,CARR71,84
A33714,CARR84,77.884
A33715,CARR2,67.976
A33716,CARR104,87.555
A33717,CARR66,87.857
A33719,CARR66,84.366
A33721,CARR97,92.941
A33722,CARR113,91.071
A33723,CARR98,91.25
A33725,CARR60,83.444
A33726,CARR62,85.467
A33727,CARR62,84.847
A33728,CARR98,86.56
A33730,CARR85,97.136
A33731,CARR85,95.431
A33733,CARR97,86.307
A33734,CARR62,81.395
A33736,CARR99,87.982
A33737,CARR97,79.51
A33738,CARR99,86.254
A33739,CARR66,84.568
A33740,CARR63,85.52
A33742,CARR99,80.018
A33743,CARR66,80.117
A33748,CARR63,74.288
A33749,CARR103,88.275
A33750,CARR110,73.771
A33753,CARR97,86.68
A33754,CARR66,69.657
A33755,CARR63,71.245
A33763,CARR2,88.653
A33764,CARR84,90.259
A33765,CARR58,90.21
A33766,CARR97,90.673
A33767,CARR112,87.272
A33769,CARR42,84.264
A33771,CARR110,90.178
A33772,CARR66,76
A33774,CARR88,85.173
A33776,CARR97,86.627
A33777,CARR76,80.862
A33779,CARR112,71.75
A33780,CARR2,89.49
A33782,CARR2,88.647
A33783,CARR73,75.553
A33786,CARR99,86.929
A33787,CARR88,89.859
A33788,CARR62,76.25
A33789,CARR99,85.607
A33790,CARR88,87.666
A33791,CARR62,82.517
A33792,CARR85,78.533
A33793,CARR58,75.81
A33794,CARR62,77.047
A33796,CARR62,90.068
A33800,CARR88,89.228
A33802,CARR62,77.584
A33803,CARR63,95.142
A33805,CARR66,77.833
A33806,CARR85,82.41
A33807,CARR112,88.69
A33808,CARR65,82.39
A33809,CARR84,80.203
A33812,CARR65,77.484
A33814,CARR84,80.769
A33816,CARR63,88.232
A33818,CARR42,91.392
A33820,CARR97,87.357
A33821,CARR2,78.525
A33823,CARR103,82.072
A33824,CARR97,91.365
A33825,CARR62,88.228
A33827,CARR2,86.14
A33831,CARR98,82.288
A33832,CARR2,82.021
A33833,CARR97,76.52
A33836,CARR84,79.45
A33837,CARR62,87.192
A33838,CARR97,79.297
A33842,CARR97,83.909
A33843,CARR63,70.76
A33844,CARR112,76.612
A33847,CARR99,79.5
A33848,CARR84,95.981
A33851,CARR62,73.188
A33852,CARR63,78.66
A33853,CARR98,87.712
A33854,CARR58,79.16
A33855,CARR110,87.949
A33856,CARR62,85.084
A33857,CARR99,90.535
A33858,CARR103,90.152
A33859,CARR97,81.958
A33861,CARR63,81.142
A33863,CARR66,79.135
A33864,CARR88,93.767
A33866,CARR76,76.474
A33868,CARR76,96.879
A33876,CARR97,86.942
A33877,CARR86,76.383
A33878,CARR103,93.053
A33880,CARR63,93.211
A33882,CARR54,82.65
A33884,CARR42,89.633
A33886,CARR97,87.145
A33887,CARR84,77.862
A33888,CARR88,88.654
A33890,CARR103,94.571
A33891,CARR84,72.886
A33893,CARR61,89.816
A33894,CARR63,91.22
A33897,CARR2,91.893
A33898,CARR2,81.538
A33903,CARR99,85.807
A33906,CARR62,76.74
A33907,CARR60,87.836
A33908,CARR62,89.508
A33909,CARR65,77.564
A33910,CARR76,89.067
A33911,CARR98,88.464
A33912,CARR110,90.625
A33915,CARR97,86.907
A33916,CARR110,92.754
A33917,CARR62,79.315
A33919,CARR75,87.537
A33920,CARR113,91.25
A33922,CARR85,70.73
A33923,CARR99,78.704
A33924,CARR113,85.596
A33926,CARR62,83.622
A33927,CARR103,73.95
A33929,CARR61,80.539
A33930,CARR66,87.719
A33932,CARR62,84.446
A33934,CARR63,85.339
A33935,CARR62,76.148
A33936,CARR66,79.658
A33937,CARR112,85.884
A33940,CARR42,71.857
A33942,CARR99,85.714
A33943,CARR98,96.4
A33944,CARR53,74.947
A33945,CARR103,93.381
A33946,CARR62,75.698
A33947,CARR2,89.947
A33948,CARR66,80.684
A33949,CARR2,81.518
A33954,CARR98,79.867
A33955,CARR99,90.909
A33959,CARR63,76.303
A33961,CARR76,87.627
A33962,CARR58,85.413
A33963,CARR65,88.515
A33964,CARR98,91.709
A33968,CARR98,83.396
A33969,CARR84,75.132
A33970,CARR62,81.285
A33971,CARR42,90.482
A33972,CARR97,75.848
A33973,CARR97,86.918
A33974,CARR88,0
A33976,CARR66,81.095
A33977,CARR84,79
A33978,CARR110,89.83
A33979,CARR75,83.745
A33980,CARR112,85.641
A33981,CARR112,93.673
A33982,CARR60,87.524
A33985,CARR103,87.428
A33988,CARR62,81.169
A33989,CARR76,76.589
A33990,CARR54,73.692
A33991,CARR104,81.333
A33993,CARR71,80.338
A33995,CARR73,73.8
A33999,CARR62,83.887
A34001,CARR62,89.311
A34003,CARR72,83.065
A34004,CARR98,73.133
A34005,CARR97,85.446
A34008,CARR99,78.877
A34009,CARR63,82.592
A34010,CARR85,70.677
A34012,CARR46,74.631
A34018,CARR62,77.046
A34019,CARR85,75.637
A34022,CARR99,72.8
A34029,CARR62,80.865
A34031,CARR65,78.785
A34033,CARR62,75.722
A34036,CARR2,87.166
A34038,CARR88,88.162
A34039,CARR42,87.687
A34042,CARR84,77
A34043,CARR97,87.875
A34044,CARR99,67.567
A34046,CARR71,98.042
A34047,CARR85,86.795
A34048,CARR61,93.627
A34049,CARR2,86.085
A34050,CARR84,92.088
A34051,CARR85,90.468
A34052,CARR110,88.162
A34055,CARR72,90.145
A34056,CARR66,84.155
A34059,CARR85,89.837
A34060,CARR2,84.2
A34061,CARR62,82.608
A34062,CARR62,81.808
A34063,CARR88,85.272
A34065,CARR85,94.666
A34067,CARR88,86.955
A34068,CARR103,81
A34069,CARR58,71.424
A34074,CARR62,83.218
A34075,CARR85,72.709
A34076,CARR62,84.281
A34077,CARR62,80.933
A34079,CARR64,83
A34081,CARR62,87.627
A34082,CARR63,95.102
A34083,CARR61,78.068
A34084,CARR62,82.468
A34087,CARR62,97.355
A34088,CARR62,94.866
A34089,CARR73,86.425
A34090,CARR63,80.357
A34093,CARR42,79.069
A34094,CARR66,85.062
A34095,CARR84,85.363
A34098,CARR58,74.567
A34099,CARR2,80.629
A34100,CARR84,81.372
A34102,CARR73,97.272
A34103,CARR103,75.88
A34104,CARR2,86.666
A34106,CARR2,74.769
A34107,CARR66,75.297
A34110,CARR97,73.864
A34111,CARR66,81.09
A34112,CARR63,74.384
A34113,CARR88,90.93
A34116,CARR103,81.772
A34117,CARR85,83.733
A34118,CARR60,79.705
A34119,CARR114,73.744
A34120,CARR62,91.133
A34121,CARR73,76.697
A34122,CARR73,94.428
A34123,CARR88,86.444
A34124,CARR103,79.382
A34125,CARR103,72.309
A34126,CARR65,80.6
A34128,CARR60,82.619
A34129,CARR60,94.113
A34130,CARR112,86.878
A34132,CARR63,90.177
A34133,CARR63,81.488
A34134,CARR58,82.17
A34135,CARR84,71.893
A34136,CARR2,86.794
A34137,CARR58,84.093
A34138,CARR86,74.5
A34139,CARR110,97.604
A34140,CARR2,91.959
A34141,CARR84,90.818
A34142,CARR97,87.418
A34143,CARR60,82.311
A34144,CARR73,86.581
A34146,CARR76,86.075
A34149,CARR107,86.439
A34150,CARR63,85.368
A34152,CARR61,73.325
A34153,CARR84,79.428
A34154,CARR72,83.232
A34155,CARR2,88.341
A34157,CARR61,79.574
A34158,CARR75,83.34
A34159,CARR112,86.418
A34160,CARR66,89.977
A34161,CARR71,79.964
A34163,CARR53,86.446
A34164,CARR103,75.333
A34165,CARR84,72.285
A34166,CARR62,84.979
A34167,CARR84,70.19
A34168,CARR103,90.186
A34169,CARR103,75.9
A34170,CARR88,88.894
A34171,CARR98,95.479
A34172,CARR103,76.743
A34173,CARR53,71.423
A34174,CARR103,74.897
A34175,CARR73,78.805
A34176,CARR2,74.117
A34179,CARR98,83.695
A34182,CARR103,34.833
A34183,CARR97,88.6
A34185,CARR88,89.189
A34186,CARR98,85.25
A34188,CARR2,93.575
A34190,CARR76,68.578
A34192,CARR103,79.324
A34193,CARR42,90.446
A34194,CARR62,84.306
A34195,CARR103,80.808
A34197,CARR73,74.5
A34199,CARR58,81.18
A34200,CARR97,94.257
A34201,CARR110,90.837
A34203,CARR75,80.444
A34205,CARR63,84.465
A34206,CARR98,86.645
A34207,CARR71,78.846
A34208,CARR71,87.234
A34213,CARR64,84.282
A34214,CARR73,72.333
A34215,CARR103,73.23
A34216,CARR62,80.79
A34217,CARR98,91.065
A34219,CARR97,75.818
A34220,CARR62,78.81
A34221,CARR85,83.375
A34222,CARR58,82.8
A34223,CARR73,90.357
A34225,CARR75,82.931
A34226,CARR62,91.72
A34228,CARR85,80.204
A34229,CARR72,86.285
A34230,CARR97,90.853
A34232,CARR63,83.062
A34236,CARR99,71.418
A34237,CARR66,85.113
A34239,CARR54,80.487
A34240,CARR42,87.488
A34241,CARR85,74.538
A34242,CARR85,67.592
A34243,CARR77,81.955
A34245,CARR97,70.648
A34246,CARR84,67.666
A34248,CARR66,80.052
A34249,CARR62,93.04
A34251,CARR58,89.318
A34252,CARR88,87.111
A34255,CARR54,79.081
A34256,CARR42,86.113
A34257,CARR66,82.34
A34259,CARR61,81.375
A34260,CARR103,73.264
A34262,CARR76,79.846
A34263,CARR63,71.264
A34264,CARR60,94.523
A34267,CARR62,91.72
A34268,CARR84,80.037
A34269,CARR2,83.431
A34271,CARR103,87.414
A34272,CARR85,86.93
A34274,CARR62,73.813
A34276,CARR73,86.311
A34277,CARR66,79.102
A34278,CARR85,80.465
A34281,CARR88,91.142
A34283,CARR99,81.066
A34284,CARR2,64.076
A34285,CARR84,82.733
A34287,CARR62,91.181
A34289,CARR75,88.657
A34292,CARR84,93.093
A34293,CARR103,83.209
A34294,CARR98,83.948
A34295,CARR66,77.404
A34296,CARR63,74.642
A34297,CARR61,76.558
A34300,CARR88,94.977
A34301,CARR88,87.578
A34302,CARR71,77.441
A34303,CARR103,85.627
A34304,CARR75,80.418
A34305,CARR103,87.096
A34306,CARR60,94.488
A34307,CARR103,94.18
A34308,CARR88,89.972
A34309,CARR88,90.955
A34310,CARR97,93.926
A34312,CARR98,91.538
A34314,CARR114,80.413
A34315,CARR66,78.95
A34316,CARR103,82.972
A34317,CARR62,78.315
A34318,CARR97,92.951
A34319,CARR75,88.333
A34320,CARR98,84
A34321,CARR114,80.555
A34323,CARR88,85.615
A34324,CARR62,85.209
A34325,CARR63,88.674
A34328,CARR66,86.066
A34331,CARR66,72.634
A34332,CARR64,86.393
A34336,CARR77,79.358
A34338,CARR62,85.666
A34339,CARR97,78.257
A34342,CARR99,86.325
A34343,CARR60,80.227
A34345,CARR104,89.484
A34346,CARR114,80.38
A34348,CARR85,78.547
A34349,CARR99,98.906
A34350,CARR2,86.368
A34351,CARR63,78.652
A34352,CARR62,82.023
A34357,CARR99,79.285
A34358,CARR66,76.977
A34360,CARR42,91.276
A34361,CARR97,94.971
A34363,CARR42,79.694
A34364,CARR58,82.276
A34366,CARR65,93.145
A34367,CARR98,89.75
A34368,CARR54,82.069
A34369,CARR66,83.214
A34370,CARR63,74.414
A34372,CARR61,86.222
A34373,CARR2,87.871
A34375,CARR97,85.76
A34377,CARR73,81.872
A34379,CARR98,89.913
A34380,CARR62,85.384
A34382,CARR98,84.311
A34383,CARR112,84.861
A34385,CARR58,79.234
A34386,CARR63,70.243
A34388,CARR58,85.755
A34389,CARR2,82.194
A34391,CARR97,76.348
A34392,CARR2,76.025
A34394,CARR85,74.622
A34395,CARR54,75.375
A34396,CARR112,75.696
A34397,CARR85,76.05
A34398,CARR110,77.162
A34400,CARR85,77.326
A34402,CARR85,82.571
A34403,CARR103,92.081
A34405,CARR110,92.526
A34406,CARR104,94.837
A34407,CARR54,92.383
A34410,CARR63,73.604
A34419,CARR42,75.5
A34423,CARR112,74.057
A34426,CARR62,75.756
A34427,CARR62,81.709
A34428,CARR66,87.418
A34429,CARR62,82.466
A34430,CARR54,79.136
A34431,CARR62,75.155
A34433,CARR62,73.888
A34434,CARR99,83.089
A34436,CARR85,67.411
A34438,CARR66,72.78
A34440,CARR62,78.766
A34441,CARR62,74
A34444,CARR110,80.516
A34445,CARR99,73.291
A34446,CARR2,88.793
A34447,CARR76,91.861
A34448,CARR62,82.133
A34449,CARR62,77.714
A34453,CARR75,85.843
A34454,CARR2,87.451
A34455,CARR84,72.56
A34456,CARR66,84.272
A34458,CARR66,86.157
A34459,CARR97,90.419
A34460,CARR85,88.151
A34461,CARR66,74.937
A34462,CARR103,81.866
A34464,CARR62,77.548
A34465,CARR66,78.685
A34469,CARR110,88.515
A34470,CARR97,88.357
A34471,CARR71,80.055
A34472,CARR63,74.794
A34473,CARR62,79.035
A34476,CARR112,85.473
